50
6.713691 -112.170590 
3.888909 -118.981462 
2.414978 -125.096454 
2.291897 -130.515565 
3.519666 -135.238797 
6.098285 -139.266149 
16.834686 -149.091508 
30.398224 -153.450764 
45.247653 -153.738975 
59.747889 -151.980617
74.330077 -149.134773 
88.959891 -146.418737 
103.612473 -144.684340 
118.327357 -144.314678 
133.069195 -145.513926 
147.800964 -148.809072 
162.430063 -154.628691 
176.868926 -161.807714 
191.147051 -167.185335 
205.487095 -168.850174 
219.966519 -167.489348 
234.440522 -164.761349 
248.810532 -161.351895 
263.566832 -157.044848 
277.201202 -151.428462 
288.248726 -144.299148 
290.974405 -140.962340 
292.389545 -137.191026 
292.494146 -132.985203 
291.288209 -128.344871 
288.771732 -123.270024 
278.120709 -113.362382 
264.770697 -105.478998 
250.213124 -99.253878 
236.014794 -93.971710 
221.726956 -89.178818 
207.382585 -85.393122 
193.017957 -83.205592 
178.579990 -82.894965 
164.036414 -84.338121 
149.334824 -87.032165 
134.501914 -90.271558 
119.642398 -93.093565 
104.873764 -94.546774 
90.219091 -94.871033 
75.609781 -94.901033 
61.054663 -95.164720 
46.574412 -95.672512 
31.683311 -97.470969 
17.906149 -102.559921 
