50
6.713691 -112.170590 31.681291
3.888909 -118.981462 31.635272
2.414978 -125.096454 31.591765
2.291897 -130.515565 31.550772
3.519666 -135.238797 31.512296
6.098285 -139.266149 31.476340
16.834686 -149.091508 32.399937
30.398224 -153.450764 33.589373
45.247653 -153.738975 34.826860
59.747889 -151.980617 35.958621
74.330077 -149.134773 37.120498
88.959891 -146.418737 37.886137
103.612473 -144.684340 37.592944
118.327357 -144.314678 35.942502
133.069195 -145.513926 33.276521
147.800964 -148.809072 29.998296
162.430063 -154.628691 27.414852
176.868926 -161.807714 27.335685
191.147051 -167.185335 30.463095
205.487095 -168.850174 33.849385
219.966519 -167.489348 36.488004
234.440522 -164.761349 39.310273
248.810532 -161.351895 43.095559
263.566832 -157.044848 47.477506
277.201202 -151.428462 51.194347
288.248726 -144.299148 53.410436
290.974405 -140.962340 53.748200
292.389545 -137.191026 53.861534
292.494146 -132.985203 53.750436
291.288209 -128.344871 53.414906
288.771732 -123.270024 52.854943
278.120709 -113.362382 50.617340
264.770697 -105.478998 47.353028
250.213124 -99.253878 43.688156
236.014794 -93.971710 40.373691
221.726956 -89.178818 37.366674
207.382585 -85.393122 34.481005
193.017957 -83.205592 31.672676
178.579990 -82.894965 29.211642
164.036414 -84.338121 27.790956
149.334824 -87.032165 28.406831
134.501914 -90.271558 30.891295
119.642398 -93.093565 33.941678
104.873764 -94.546774 36.042729
90.219091 -94.871033 36.883772
75.609781 -94.901033 36.776159
61.054663 -95.164720 36.131006
46.574412 -95.672512 35.141247
31.683311 -97.470969 33.797887
17.906149 -102.559921 32.521738
