site -865 -6292 686704
site 3346 -5425 1961311
site 1841 5839 143491
site 10952 5478 1014657
site -4273 10837 409139
site 5604 6128 1194557
site 11079 3608 2004115
site -4240 10565 2031074
site 3344 -6148 388812
site 6276 8952 469345
site 3076 -3388 840071
site 9943 9958 1297529
site 8081 325 734000
site 9516 -197 134366
site -1811 5528 70640
site 2279 -341 1683488
site -7249 -737 896838
site -8682 5022 805892
site -9847 -3108 1191036
site -5958 -8306 938803
site -1265 4770 1599987
site 7135 3239 1448317
site -1364 -153 333363
site 5975 -2111 1313611
site 7319 6076 719008
site 8025 -3118 1684824
site 3385 -367 463625
site -9120 949 1965849
site -1061 1102 507519
site 10848 5143 676877
site -1238 -7596 6414
site -6713 9538 1330318
site 7770 -3300 167449
site 11103 -8799 956267
site 2765 8519 416461
site 9955 5070 1104655
site 5328 -3018 2067922
site 9964 -2138 1015411
site 8148 6799 2125681
site -8251 6173 1492576
site -1482 -6539 1732926
site -1418 -3252 1539320
site -9589 -6957 61802
site -7915 -7328 181856
site 1647 5436 2033850
site 5811 3916 1393456
site -4616 -2229 2091648
site -5412 -3739 730295
site 4742 -7065 262775
site 4524 -5317 1880123
site -2025 3200 78693
site -6170 -9692 753439
site 9222 -9282 1057711
site 9840 -7198 1324872
site -9815 4449 721050
site 10522 -1213 2112737
site 2982 4169 742308
site 2424 8757 1368355
site 9727 2024 1661759
site -9119 -4926 2130041
site 9681 3048 1302595
site 10468 6878 1333320
site -3472 4626 1405049
site 7104 2991 1685234
site -1121 3176 982657
site 6089 2224 1861265
site 5741 -6268 1130744
site -8309 6156 859016
site 5373 4408 2061495
site 516 5288 421408
site 342 3495 1726301
site -8106 2488 1266649
site 5226 9016 581772
site -2197 4646 1880957
site -6820 -7949 1051093
site 3006 8139 126030
site 143 2406 499226
site 11451 4097 2114846
site -1433 -2004 1408217
site -2293 8512 789598
site 1920 -2620 2139114
site -2290 -727 1240492
site 10375 -6975 994654
site -5281 826 311828
site -7946 4005 516887
site 2564 -4462 183397
site 3824 5681 1424096
site 8816 5657 686324
site 8490 -7250 1485922
site 1097 456 1189682
site 8993 -9097 1927645
site 8909 -1388 707440
site -159 -2487 1009872
site 9786 2230 2092506
site -8569 4283 1345609
site -3401 -4626 1899323
site -1567 9197 1319946
site -8800 6539 738221
site -1937 3554 1013166
site -8553 -6822 2058792
site 3343 -9303 1540
site 1145 9606 862680
site 8219 -2028 1613893
site -3156 -3716 689468
site -3706 -2286 2117846
site 9749 4312 507669
site 7268 -8729 279936
site -1007 -7530 1933872
site 6374 531 1141873
site -4968 1978 1459639
site -5855 -6153 1529286
site -5839 4992 1342445
site 2787 1736 2139608
site -2548 8580 620462
site 4345 -6601 1391804
site 4049 -8326 675554
site 9126 8941 802593
site -9549 -3540 1049533
site 9789 -8640 2102699
site -266 -3608 1153047
site -7145 536 1537743
site 8147 4696 889466
site 97 -3990 2063140
site 18 3460 1773670
site 6223 -3668 2113562
site -1333 10380 133459
site 5421 8032 2027652
site -8026 8482 526153
site 2468 6797 662149
site 2020 -4944 1301325
site -7923 -2089 207503
site 7453 -5416 1677193
site -5126 4681 130623
site -5969 -6775 1476653
site -9708 9448 2109785
site 11427 -3360 2000380
site -8712 -9413 1656111
site -9911 -7440 1356911
site -4649 5028 889170
site 1972 -4425 1394761
site -6489 -2349 38356
site -4414 -6370 496726
site -9117 -1497 1964832
site -7811 2532 139832
site 6955 2824 2084640
site 6578 2777 601127
site 5107 4064 659813
site 193 4153 915809
site -7712 9504 271163
site 1179 1 828576
site -6347 3511 1593610
site -5964 9097 1956526
site -996 9979 659307
site -2823 -9306 1912576
site -1424 7649 1047553
site -2053 2752 177800
site 3957 -3614 1584261
site 10555 6578 852138
site -1760 8866 655067
site 950 -1428 1655199
site 9236 2223 858891
site 3697 6259 621131
site 1788 -6212 471628
site 8381 964 541006
site 6032 9539 158433
site -4966 -3988 1433696
site -3188 9969 2072207
site -8821 9050 1582595
site -299 -4185 1321770
site 6250 6765 31419
site 1328 4527 1253788
site 9916 -3249 732267
site -5346 8538 1111064
site -630 5445 60046
site 4779 2 2014013
site 6364 5036 467671
site -773 -9627 317114
site -1526 -8448 74673
site -7175 1251 656156
site 6042 -3972 185242
site 6356 7355 1637993
site -2580 5797 165566
site 4742 10450 2019456
site -5621 -1654 1416520
site -5021 -8349 269333
site -6356 8014 1772934
site -1679 -4233 1810155
site 1491 4239 1965258
site 2238 7064 942899
site 8799 1631 1545627
site 10652 -3486 1133675
site 5557 3932 565935
site 7213 -2799 463537
site 5932 1578 1298111
site -1376 6556 1463178
site 1316 10200 1117172
site -2428 -2953 1693790
site -5802 8537 970272
site -7624 -698 529213
site 1804 -3373 1692383
