site -2281 -5347 29505830
site 5086 -3070 85788825
site 1773 7651 92066940
site -8349 3790 132506528
site -6030 -2253 151577454
site -3243 -3238 11652258
site 3618 7477 78217445
site -2163 1973 214020551
site 9759 -3646 192193285
site 4365 -2124 82749819
site 10851 5594 129270801
site -7672 -793 198569447
site 906 10979 160331679
site 10113 -8844 83488752
site 1889 -4875 160955965
site -4427 1881 13820454
site -3262 -5974 188595017
site 4558 1861 93579636
site 4486 146 157112925
site 2230 -6962 21121174
site 10505 -7585 177065605
site 1957 -5258 54379867
site 340 5648 49428065
site -5101 4286 60982418
site 3247 -5298 112226925
site -2132 273 16291335
site -749 7010 56543048
site -3365 94 175157804
site 5992 -6893 61875137
site 229 5336 92246238
site 2341 4367 116388629
site -1427 -5149 163808138
site 4010 5190 105545226
site 8953 10089 33666835
site -6422 1861 80679494
site 4799 9729 183412290
site 6428 -2495 138769119
site -9391 4139 24967426
site 8124 -1342 56027762
site -7163 8886 209395049
site 2061 -247 138322377
site -7774 8325 186828913
site 8606 861 123987372
site -2313 -1659 110129436
site 1052 1917 13995490
site 9120 -4757 211289867
site 5987 -9802 71587926
site -1610 -9194 212981413
site 885 8929 84804872
site 6488 -9708 58919591
site 5953 2353 156446745
site -1689 4578 124955210
site -4481 1710 18824854
site 7917 9396 102232106
site -2544 -1025 6662655
site -1144 -3379 59091792
site -1490 -8867 61062486
site 5668 -478 69117788
site 5491 10407 43667136
site -7502 5421 46585669
site -1610 -99 170119625
site -7441 8210 101160904
site 5054 -7745 3517644
site 6936 10172 197483436
site -4314 -3846 72480022
site -3648 5008 138683626
site 2260 -7957 150009809
site 8366 7711 30479325
site -6196 1727 19807966
site -1829 4224 174023494
site 2829 -8860 58275865
site -1633 -6302 25635822
site 8482 8752 48183912
site 8834 4214 35159144
site 7107 9899 96690953
site -7119 -5223 32026467
site 6749 7037 52455551
site 275 3929 14817768
site 3323 7733 132094531
site 5304 -5571 59593984
site 1231 7258 70984082
site 7059 -5850 107963206
site 9622 -8842 80738202
site -7033 9991 8133926
site -3517 5624 207130848
site 6151 8505 40146530
site 9353 3779 210517859
site -6875 -7419 135062226
site -5393 5903 97645786
site 7815 -267 141935673
site -7699 10964 99769193
site -601 6548 141265970
site 10195 4696 152838544
site -3205 7662 138004560
site -2392 -7329 79499089
site -3154 8821 49802153
site 860 6700 187597380
site 437 9825 213397849
site -7531 -7042 157682885
